,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,cwm-baseline-10,cwm-baseline-100,500.0,0.416,0.474,93.0,-29.0,0.01928730152198591,0.0034618534914423785,,,0.019112090414185465,0.6290435455986282,swebench-verified
1,cwm-baseline-10,cwm-baseline-110,500.0,0.416,0.452,92.0,-18.0,0.01918332609325088,0.07576023576406513,,,0.019115648040283647,0.6276505054964782,swebench-verified
2,cwm-baseline-10,cwm-baseline-120,500.0,0.416,0.46,92.0,-22.0,0.01918332609325088,0.02801690195894671,,,0.019082138244966157,0.6294959732993368,swebench-verified
3,cwm-baseline-10,cwm-baseline-130,500.0,0.416,0.48,98.0,-32.0,0.019798989873223333,0.0016005802102081264,,,0.019591018350254282,0.6104377567368411,swebench-verified
4,cwm-baseline-10,cwm-baseline-140,500.0,0.416,0.484,100.0,-34.0,0.02,0.0008737198369123724,,,0.019767447989055137,0.603506319693054,swebench-verified
5,cwm-baseline-10,cwm-baseline-150,500.0,0.416,0.49,99.0,-37.0,0.0198997487421324,0.00025534608649658137,,,0.019622639985486155,0.6094218801286819,swebench-verified
6,cwm-baseline-10,cwm-baseline-160,500.0,0.416,0.482,99.0,-33.0,0.0198997487421324,0.0011852314254676957,,,0.01967963414294077,0.6069666700932355,swebench-verified
7,cwm-baseline-10,cwm-baseline-170,500.0,0.416,0.464,98.0,-24.0,0.019798989873223333,0.019690184799846844,,,0.0196822762911204,0.6060686714764085,swebench-verified
8,cwm-baseline-10,cwm-baseline-180,500.0,0.416,0.458,85.0,-21.0,0.018439088914585774,0.029456361785778883,,,0.01834317311699369,0.6575242178866053,swebench-verified
9,cwm-baseline-10,cwm-baseline-190,500.0,0.416,0.492,96.0,-38.0,0.019595917942265426,0.00013222219842746964,,,0.0192989118864251,0.622234338623713,swebench-verified
10,cwm-baseline-10,cwm-baseline-20,500.0,0.416,0.43,89.0,-7.0,0.018867962264113206,0.5250147872924269,,,0.01885757142370141,0.6356865923723961,swebench-verified
11,cwm-baseline-10,cwm-baseline-200,500.0,0.416,0.462,105.0,-23.0,0.020493901531919198,0.03130178457554002,,,0.02039038989328061,0.577079328115513,swebench-verified
12,cwm-baseline-10,cwm-baseline-210,500.0,0.416,0.476,88.0,-30.0,0.01876166303929372,0.0018240286456271994,,,0.018568791021496257,0.6499116804174291,swebench-verified
13,cwm-baseline-10,cwm-baseline-220,500.0,0.416,0.482,105.0,-33.0,0.020493901531919198,0.0016590268898995495,,,0.020280236685009372,0.5826048482710195,swebench-verified
